name,prompt,negative_prompt
Anime1,"(Anime), big eyes , exaggerated expressions , stylized hair , manga","realistic , western ,minimalistic"
Anime2,Manga big eyes expressive faces colorful hair Hayao Miyazaki Masashi Kishimoto Makoto Shinkai CLAMP Yoshiyuki Sadamoto,realistic proportions muted colors
Anime3,"(illustration), (anime), cartoon, detailed",
Ghibli SK,"(Studio ghibli style, Art by Hayao Miyazaki:1.2), {prompt}, Anime Style, Manga Style, Hand drawn, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, concept art, trending on artstation, Vivid colors, Simplified style, trending on ArtStation, trending on CGSociety, Intricate, Vibrant colors, Soft Shading, Simplistic Features, Sharp Angles, Playful",
Anime SK,"(Anime Scene, Toonshading, Satoshi Kon, Ken Sugimori, Hiromu Arakawa:1.2), (Anime Style, Manga Style:1.3), {prompt}, Low detail, sketch, concept art, line art, webtoon, manhua, hand drawn, defined lines, simple shades, minimalistic, High contrast, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows, glow effects, humorous illustration, big depth of field, Masterpiece, colors, concept art, trending on artstation, Vivid colors, dramatic",
AnimeSuper,"(anime), (illustration), cartoon, detailed, {prompt}",
Manga,"(Manga Style, Yusuke Murata, Satoshi Kon, Ken Sugimori, Hiromu Arakawa), Pencil drawing, (B&W:1.2), Low detail, sketch, concept art, Anime style, line art, webtoon, manhua, chalk, hand drawn, defined lines, simple shades, simplistic, manga page, minimalistic, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows",
Ghibli1,Studio ghibli style,"logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Ghibli2,"RAW candid cinema, woman, studio, 16mm, ((color graded portra 400 film)) ((remarkable color)), {prompt}, (ultra realistic), textured skin, remarkable detailed pupils, ((realistic dull skin noise)), ((visible skin detail)), ((skin fuzz)), (dry skin) shot with cinematic camera","B&W, logo, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, bad art, bad anatomy, 3d render"
=======Photo=======,,
BWphoto,"Photorealistic, Hyperrealistic, Hyperdetailed, {prompt}, film noir, analog style, hip cocked, demure, low cut, black lace, detailed skin, pores, smirk, smiling eyes, matte skin, outdoor cafe, soft lighting, subsurface scattering, realistic, heavy shadow, b&w, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Photo,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, hip cocked, demure, {prompt}, low cut, black lace, detailed skin, pores, smirk, smiling eyes, matte skin, outdoor cafe, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus","B&W, logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Macro-Photo1,"close-up , detailed , magnified , by David Maitland , Thomas Shahan , Nicky Bay , Levon Biss , Erez Marom","distant , blurry , small"
Dramatic-Photo,"contrasty , vibrant , intense , by Jimmy Nelson , Steve McCurry , Annie Leibovitz , Sebasti?o Salgado , Peter Lindbergh","flat , dull , soft"
Matte-Photo,"faded , vintage , nostalgic , by Jose Villa , Elizabeth Messina , Ryan Brenizer , Jonas Peterson , Jasmine Star","sharp , modern , bright"
Natural and soft-Photo,"smooth , warm , cozy , by Chris Burkard , Alex Strohl , Elia Locardi , Benjamin Hardman , Lauren Bath","harsh , cold , edgy"
Pet-Photo,"cute , furry , expressive , by Seth Casteel , Carli Davidson , Rachael Hale McKenna, Kaylee Greer, Sophie Gamand","scary, ugly, boring"
Minimalist-Photo,"simple, clean, elegant, by Michael Kenna, Hiroshi Sugimoto, Fan Ho, Harry Callahan, Saul Leiter","cluttered, messy, chaotic"
HDR (High Dynamic Range)-Photo,"realistic, detailed, balanced, by Trey Ratcliff, Klaus Herrmann, Serge Ramelli, Jimmy McIntyre, Elia Locardi","unrealistic, flat, dull"
Photojournalism-Photo,"documentary , candid , storytelling , by Henri Cartier-Bresson , Sebasti?o Salgado , Steve McCurry , Robert Capa , James Nachtwey","staged , posed , fictional"
Portrait-Photo,"expressive , personal , creative , by Annie Leibovitz , Cindy Sherman , Richard Avedon , Yousuf Karsh , Vivian Maier","bland, impersonal, generic"
Landscape-Photo,"scenic , natural , majestic , by Ansel Adams , Galen Rowell , David Muench, Frans Lanting, Peter Lik","urban, artificial, dull"
Wildlife-Photo,"adventurous , wild , captivating , by David Yarrow, Nick Brandt, Art Wolfe, Paul Nicklen, Joel Sartore","domesticated, tame, boring"
Street-Photo,"spontaneous , urban , cultural , by Vivian Maier, Fan Ho, Garry Winogrand, Elliott Erwitt, Martin Parr","planned, rural, monotonous"
Abstract-Photo,"artistic , creative , experimental , by Man Ray , Aaron Siskind , Franco Fontana , Edward Weston , Wolfgang Tillmans","realistic , conventional , literal"
Fashion-Photo,"glamorous , stylish , trendy , by Richard Avedon , Helmut Newton , Mario Testino , Annie Leibovitz , Steven Meisel","plain, outdated, boring"
Macro-Photo2,"close-up , detailed , magnified , by Robert Mapplethorpe, Olegas Truchanas, Karl Blossfeldt, Thomas Shahan, David Liittschwager","distant, blurry, small"
Architecture-Photo,"geometric , structural , aesthetic , by Julius Shulman, Andreas Gursky, Iwan Baan, Berenice Abbott, Hiroshi Sugimoto","organic, chaotic, ugly"
Sports-Photo,"dynamic , action-packed , thrilling , by Neil Leifer, Walter Iooss Jr., Bob Martin, Eadweard Muybridge, Robert Capa","static, dull, boring"
Professional photo,"(dark shot:1.4), 80mm, {prompt}, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)",
Original Photo Style,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, hip cocked, demure, low cut, black lace, detailed skin, matte skin, soft lighting, {prompt}, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Photograph Closeup,"{prompt}, depth of field, bokeh, soft light, by Yasmin Albatoul, Harry Fayt, centered, extremely detailed, Nikon D850, (35mm|50mm|85mm), award winning photography",
Photograph Portrait,"portrait photo of {prompt}, photograph, highly detailed face, depth of field, moody light, golden hour, style by Dan Winters, Russell James, Steve McCurry, centered, extremely detailed, Nikon D850, award winning photography",
photorealistic,"((8k, RAW photo, highest quality, masterpiece), High detail RAW professional photo, {promt}, (realistic, photorealism:1. 5), (highest quality), (best shadow), (best illustration), ultra high resolution, highly detailed CG unified 8K wallpapers, physics-based rendering, cinematic lighting), photorealistic, masterpiece, realistic, realism, photorealism, hdr, photorealistic digital art trending on Artstation, 8k HD detailed realistic, detailed",
=======Sketch=======,,
Sketch1,"Sketch, Manga Sketch, Pencil drawing, Black and White, Manga, Manga style, Low detail, Line art, vector art, Monochromatic, by katsuhiro otomo and masamune shirow and studio ghilibi and yukito kishiro","pencil, logo, Glasses, Watermark, bad artist, blur, blurry, text, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers"
Sketch2,"{prompt}, sketch, drawing, detailed, pencil, black and white by Adonna Khare, Paul Cadden, Pierre-Yves Riveau",
=======Art-style=======,,
,,
Картина маслом,"modelshoot style, (extremely detailed CG unity 8k wallpaper), {prompt}, professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski","canvas frame, cartoon, 3d, ((disfigured)), ((bad art)), ((deformed)),((extra limbs)),((close up)),((b&w)), weird colors, blurry, (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
dOil,"Digital art, glow effects, Hand drawn, render, 8k, octane render, {prompt}, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, modelshoot style, (extremely detailed CG unity 8k wallpaper), professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, bad art, bad anatomy, 3d render"
TellTale,"Arcane Style, Borderlands style, Telltale Games style, Oil painting, Simple colors, low detail, Vivid colors, Defined lines, defined edges, Digital art, Cartoon look, Cartoon style, Sharp shadows, Dark","logo, Glasses, Watermark, bad artist, blur, blurry, text, b&w, 3d, bad art, poorly drawn, disfigured, deformed, extra limbs, ugly hands, extra fingers, canvas frame, cartoon, 3d, disfigured, bad art, deformed, extra limbs, weird colors, blurry, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, ugly, blurry, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, out of frame, ugly, extra limbs, bad anatomy, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, Photoshop, video game, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, 3d render"
Cyberpunk1,"(Cyberpunk), futuristic, neon, urban, dystopian","medieval, natural, rural"
Fantasy1,"(Fantasy), magical, mythical, medieval, colorful","realistic, modern, sci-fi"
Horror1,"(Horror), dark, creepy, bloody, scary","bright, cute, happy"
Noir,"(Noir), black and white , detective , crime , mystery","colorful , fantasy , comedy"
Steampunk1,"(Steampunk), Victorian era , steam-powered machines , gears , goggles","futuristic , digital , sleek"
Surrealism,"(Surrealism), dreamlike , distorted , abstract , symbolic","realistic ,logical ,plain"
Pixel art,"(Pixel art) retro ,low resolution ,pixelated ,nostalgic","modern ,high resolution ,smooth"
Watercolor painting,"(Watercolor painting) soft colors ,fluid strokes ,transparent layers","sharp edges ,solid colors ,opaque layers"
Pop art,"(Pop art) bright colors ,comic style ,mass culture references","dull colors,realistic style, historical references"
Hyperrealistic,"realistic, detailed, textured, skin, hair, eyes, by Alex Huguet, Mike Hill, Ian Spriggs, JaeCheol Park, Marek Denko","abstract, cartoon, stylized"
Retro,"vintage, pixelated, scanlines, halftone, by Paul Robertson, Henk Nieborg, Valenberg, Octavi Navarro, Mark Ferrari","modern, smooth, realistic"
Abstract,"geometric shapes, vibrant colors, minimalistic, by Andy Gilmore, James White, Rafael Araujo, Jen Stark, Matt W. Moore","realistic, detailed, complex"
Fantasy2,"magic , dragons , elves , castles , by Donato Giancola , Ruan Jia , Kekai Kotaki , Magali Villeneuve , Even Mehl Amundsen","sci-fi , modernity"
Sci-fi,"futuristic technology , robots , spaceships , by Vitaly Bulgarov , Maciej Kuciara , Jama Jurabaev , Sparth , Karla Ortiz","fantasy , medieval , nature"
Horror2,"dark , creepy , blood , monsters , by Jason Engle , Carlos Huante , Charlie Bowater , Simon Lee , Brom","cute , colorful , happy"
Steampunk2,"steam-powered machines gears goggles , by Jakub Rozalski Ian McQue James Ng Loish Sergey Kolesov",cyberpunk organic sleek
Cyberpunk2,"neon lights , dystopian city , hackers , by Josan Gonzalez , Simon Stalenhag , Maciej Rebisz , Mike Winkelmann (Beeple) , Darek Zabrocki",steampunk natural rustic
Comic book,Graphic novel bold lines dynamic poses speech bubbles Frank Miller Alex Ross Jim Lee Fiona Staples Mike Mignola,painterly style static scenes
lightweight_3d_real,"(3d render:1.25), realistic, dark, epic, (detailed:1.22), textured","bad-hands-5, bad-image-v2-39000, bad_prompt, bad_prompt_version2, bad_quality, EasyNegative, (deformed, distorted, disfigured:1.3), bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), ugly, ugly face, Watermark, text"
Picturesque,"(rough brush strokes: 1.5), {prompt}, [soft impressionist brush strokes:1.2], blinding light, canvas texture, muted colors, by Brent Heighton, by Richard Schmid","(deformed, distorted, disfigured: 1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers: 1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
Knolling,"Costumes and props, Knolling, Knolling layout, Deconstruction, {prompt}, Highly detailed, Depth, Many parts, Lumen render, 8k",
Character_concept,"Character, Full body, Concept design, Sheet, Ultra wide view, Ultra detailed",
Sheet-menu_rpg,Sheet-menu_rpg,
Low-poly,"angle view, (isometric:1.2), low-poly object, Highly detailed, Depth, Lumen render, 8k","deformed, bad anatomy, floating body parts, broken"
Crazy smiles1,"incredibly absurdres, upper body portrait, head tilted, demon eyes, {prompt}, ((constricted pupils)), crazy eyes, crazy smile, grinning, (ahoge:1.2)",
Cinematic1,"((((cinematic look)))), soothing tones",
Cinematic (horror)1,"slate atmosphere, cinematic, dimmed colors, dark shot, muted colors, {prompt}, film grainy, lut, spooky",
Midjourney1,"(dark shot:1.17), epic realistic, {prompt}, faded, ((neutral colors)), art, (hdr:1.5), (muted colors:1.2), hyperdetailed, (artstation:1.5), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.8), (teal and orange:0.4)",
Midjourney2,"(dark shot:1.17), epic realistic, faded, ((neutral colors)), {prompt}, art, (hdr:1.5), (muted colors:1.2), hyperdetailed, (artstation:1.5), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.8), (teal and orange:0.4), Details, ((intricate details)), hdr, ((intricate details, hyperdetailed))",
Neon1,"((Cinematic lighting)), (glowing), ((dramatic lighting)), ((beautiful detailed glow)), intricate detail, lens flare, backlighting, (neon lights:1.6)",
Voxel-room,"Detailed isometric living room, (pixel art:1.2), (unreal engine voxel render:1.2), very cozy, nostalgia,",
Details1,"((intricate details)), hdr, ((intricate details, hyperdetailed))",
Details2,"(intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15)",
Illustration-animal,"animal, illustration, flat, vector, detailed.","deformed, bad anatomy, floating body parts, broken"
Isometric-farm,"isometric, location, stardew valley as an 80's",
Fantasy-map,"Overland fantasy woodland map, such as a map, a font that is modern and easy to read",
Natural Skin,"(natural skin texture, hyperrealism, soft light, sharp:1.2)",
Vector Illustrations,"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, {prompt}, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",
Digital/Oil Painting,"(Extremely Detailed Oil Painting:1.2), glow effects, godrays, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, {prompt}, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, extremely detailed CG unity 8k wallpaper, trending on ArtStation, trending on CGSociety, Intricate, High Detail, dramatic",
Indie Game,"Indie game art,({prompt}), (Vector Art, Borderlands style, Arcane style, Cartoon style), Line art, Disctinct features, Hand drawn, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, trending on artstation, Vivid colors, trending on ArtStation, trending on CGSociety, Intricate, Low Detail, dramatic",
Black and White Film Noir,"(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, hip cocked, demure, low cut, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",
Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",
Logo,"(logo:1.3), vector graphics, brand, design, inspired, (straight:1.3), (symmetrical:0.4)",
Engraving,"(grayscale, woodcut:1.2), (etching:1.1), (engraving:0.2), {prompt}, detailed",
Caricature,"big head, big eyes, caricature, a caricature, digital rendering, (figurativism:0.8)",
illustration,"illustration, cartoon, soothing tones, calm colors, {prompt}",
xz,"soft light, sharp, exposure blend, {prompt}, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4), (natural skin texture, hyperrealism, soft light, sharp:1.2)",
Midjourney_fixed2,"realistic, detailed, {prompt}, (rutkowski:0.6), (intricate:0.6), (neutral colors:0.8), hdr, (muted colors:0.8), (cinematic:0.8), (warm lights:0.6), (dramatic light:0.6), intricate details, background",
Cinematic2,"((((cinematic look)))), {prompt}, soothing tones, insane details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate grey atmosphere","(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, ((((black and white)))), ((((b&w))))"
Art cinematic,"art by greg rutkowski and artgern, soft cinematic light, adobe lightroom, photolab, hdr, intricate, highly detailed, (((depth of field)))","(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, (((depth of field))), ((bokeh)), (blur), blurred, pink"
Animal,"{prompt}, wildlife photography, photograph, high quality, wildlife, f 1.8, soft focus, 8k, national geographic, award - winning photograph by nick nichols",
Archviz,"{prompt}, by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, ƒ 1.8, 35 mm, 8k, medium - format print",
Building,"{prompt}, shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo - realistic maximum detail, volumetric light, realistic matte painting, hyper photorealistic, trending on artstation, ultra - detailed, realistic",
Cartoon Character,"{prompt}, anthro, very cute kid's film character, disney pixar zootopia character concept artwork, 3d concept, detailed fur, high detail iconic character for upcoming film, trending on artstation, character design, 3d artistic render, highly detailed, octane, blender, cartoon, shadows, lighting",
Concept Art Design,"{prompt}, character sheet, concept design, contrast, style by kim jung gi, zabrocki, karlkka, jayison devadas, trending on artstation, 8k, ultra wide angle, pincushion lens effect",
Cyberpunk3,"{prompt}, cyberpunk, in heavy raining futuristic tokyo rooftop cyberpunk night, sci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and wlop and alphonse mucha",
Digital Art,"{prompt}, ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8k, unreal engine, sharp focus, volumetric lighting unreal engine. art by artgerm and alphonse mucha",
Digital Art Landscape,"{prompt}, epic concept art by barlowe wayne, ruan jia, light effect, volumetric light, 3d, ultra clear detailed, octane render, 8k, dark green",
Drawing,"{prompt}, cute, funny, centered, award winning watercolor pen illustration, detailed, disney, isometric illustration, drawing, by Stephen Hillenburg, Matt Groening, Albert Uderzo",
Fashion,"photograph of a Fashion model, {prompt}, full body, highly detailed and intricate, golden ratio, vibrant colors, hyper maximalist, futuristic, city background, luxury, elite, cinematic, fashion, depth of field, colorful, glow, trending on artstation, ultra high detail, ultra realistic, cinematic lighting, focused, 8k",
